date,Open,High,Low,Weekday,Close
2012-04-27,1.6177,1.6279,1.6151,Friday,1.626
2012-04-26,1.6168,1.6206,1.6156,Thursday,1.618
2012-04-25,1.6141,1.6182,1.608,Wednesday,1.6168
2012-04-24,1.6123,1.6163,1.6108,Tuesday,1.6141
2012-04-23,1.6127,1.6134,1.6074,Monday,1.6122
2012-04-20,1.6053,1.6148,1.6036,Friday,1.6119
2012-04-19,1.6015,1.6078,1.6007,Thursday,1.6051
2012-04-18,1.5924,1.6041,1.5893,Wednesday,1.6017
2012-04-17,1.5896,1.5969,1.586,Tuesday,1.5926
2012-04-16,1.5847,1.591,1.5817,Monday,1.5895
2012-04-13,1.5957,1.5969,1.5839,Friday,1.5854
2012-04-12,1.5909,1.5984,1.5906,Thursday,1.5957
2012-04-11,1.5861,1.5938,1.5849,Wednesday,1.5907
2012-04-10,1.5896,1.593,1.5809,Tuesday,1.586
2012-04-09,1.5889,1.5913,1.5834,Monday,1.5896
2012-04-06,1.5825,1.589,1.582,Friday,1.5869
2012-04-05,1.5889,1.5908,1.5803,Thursday,1.5826
2012-04-04,1.5908,1.5913,1.5832,Wednesday,1.589
2012-04-03,1.602,1.6046,1.589,Tuesday,1.5911
2012-04-02,1.6004,1.6062,1.5976,Monday,1.602
2012-03-30,1.5951,1.6036,1.5944,Friday,1.6005
2012-03-29,1.5887,1.5958,1.5858,Thursday,1.5952
2012-03-28,1.5945,1.5964,1.5841,Wednesday,1.5887
2012-03-27,1.5968,1.6,1.594,Tuesday,1.5946
2012-03-26,1.5872,1.5973,1.5799,Monday,1.5966
2012-03-23,1.5814,1.5906,1.5804,Friday,1.5868
2012-03-22,1.5864,1.5892,1.577,Thursday,1.5814
2012-03-21,1.5855,1.5923,1.5816,Wednesday,1.5863
2012-03-20,1.5889,1.5897,1.583,Tuesday,1.5855
2012-03-19,1.5844,1.5913,1.582,Monday,1.5889
2012-03-16,1.571,1.586,1.5692,Friday,1.5831
2012-03-15,1.5665,1.5736,1.5633,Thursday,1.5711
2012-03-14,1.5707,1.5743,1.5648,Wednesday,1.5666
2012-03-13,1.5632,1.5747,1.5619,Tuesday,1.5704
2012-03-12,1.5669,1.5695,1.5602,Monday,1.5633
2012-03-09,1.5827,1.5832,1.566,Friday,1.567
2012-03-08,1.5738,1.5833,1.5722,Thursday,1.5828
2012-03-07,1.5711,1.5758,1.5696,Wednesday,1.5739
2012-03-06,1.5861,1.5882,1.5694,Tuesday,1.5715
2012-03-05,1.5835,1.5876,1.5784,Monday,1.5864
2012-03-02,1.5954,1.5966,1.5821,Friday,1.5831
2012-03-01,1.5914,1.5974,1.5894,Thursday,1.5957
2012-02-29,1.5899,1.5981,1.5894,Wednesday,1.5915
2012-02-28,1.582,1.5907,1.5798,Tuesday,1.5898
2012-02-27,1.5882,1.5901,1.5808,Monday,1.5823
2012-02-24,1.5743,1.5898,1.572,Friday,1.5875
2012-02-23,1.5665,1.5747,1.5648,Thursday,1.5741
2012-02-22,1.5776,1.5813,1.5645,Wednesday,1.5665
2012-02-21,1.5845,1.5864,1.5771,Tuesday,1.5776
2012-02-20,1.5842,1.588,1.5831,Monday,1.5846
2012-02-17,1.5799,1.5862,1.5786,Friday,1.5818
2012-02-16,1.5689,1.5815,1.5653,Thursday,1.5797
2012-02-15,1.5688,1.5735,1.5669,Wednesday,1.5692
2012-02-14,1.5763,1.577,1.5643,Tuesday,1.5692
2012-02-13,1.5774,1.5827,1.5757,Monday,1.5764
2012-02-10,1.5815,1.5849,1.5728,Friday,1.5751
2012-02-09,1.5814,1.5884,1.5791,Thursday,1.5815
2012-02-08,1.5893,1.5928,1.5795,Wednesday,1.5814
2012-02-07,1.582,1.5905,1.5786,Tuesday,1.5896
2012-02-06,1.5802,1.5839,1.5728,Monday,1.5824
2012-02-03,1.5802,1.586,1.5749,Friday,1.5814
2012-02-02,1.5832,1.5858,1.5793,Thursday,1.5802
2012-02-01,1.5756,1.5882,1.5705,Wednesday,1.5828
2012-01-31,1.5707,1.5796,1.5696,Tuesday,1.5759
2012-01-30,1.5731,1.5734,1.5651,Monday,1.5706
2012-01-27,1.5686,1.574,1.564,Friday,1.5725
2012-01-26,1.5653,1.5734,1.5648,Thursday,1.5688
2012-01-25,1.5624,1.5678,1.5536,Wednesday,1.5656
2012-01-24,1.5564,1.5626,1.5532,Tuesday,1.5625
2012-01-23,1.5556,1.5601,1.5514,Monday,1.5567
2012-01-20,1.5482,1.5578,1.5449,Friday,1.5573
2012-01-19,1.5434,1.5492,1.5412,Thursday,1.5486
2012-01-18,1.5333,1.5442,1.5325,Wednesday,1.5435
2012-01-17,1.5321,1.5404,1.5308,Tuesday,1.5332
2012-01-16,1.5278,1.5352,1.5272,Monday,1.5324
2012-01-13,1.5342,1.5409,1.5234,Friday,1.5311
2012-01-12,1.5329,1.5367,1.5278,Thursday,1.5331
2012-01-11,1.5482,1.5491,1.5306,Wednesday,1.5324
2012-01-10,1.5455,1.5499,1.5444,Tuesday,1.5482
2012-01-09,1.5422,1.5469,1.5394,Monday,1.546
2012-01-06,1.5494,1.5525,1.5374,Friday,1.5423
2012-01-05,1.5614,1.5629,1.5465,Thursday,1.5492
2012-01-04,1.5646,1.5668,1.5579,Wednesday,1.562
2012-01-03,1.5512,1.5669,1.55,Tuesday,1.5647
2012-01-02,1.5497,1.5534,1.5468,Monday,1.551
2011-12-30,1.5413,1.5572,1.5398,Friday,1.5533
2011-12-29,1.5455,1.5475,1.536,Thursday,1.5411
2011-12-28,1.5667,1.5691,1.544,Wednesday,1.5455
2011-12-27,1.5628,1.5698,1.5593,Tuesday,1.5668
2011-12-26,1.559,1.5646,1.558,Monday,1.5624
2011-12-23,1.5672,1.5708,1.5583,Friday,1.5584
2011-12-22,1.5674,1.5728,1.5647,Thursday,1.5676
2011-12-21,1.566,1.5773,1.5646,Wednesday,1.5672
2011-12-20,1.5495,1.5701,1.5492,Tuesday,1.566
2011-12-19,1.5542,1.5545,1.5463,Monday,1.5495
2011-12-16,1.5525,1.5556,1.5481,Friday,1.5544
2011-12-15,1.5464,1.5529,1.5432,Thursday,1.5511
2011-12-14,1.5476,1.553,1.5407,Wednesday,1.5465
2011-12-13,1.558,1.5629,1.5448,Tuesday,1.5481
2011-12-12,1.565,1.5657,1.5535,Monday,1.5579
2011-12-09,1.5627,1.5734,1.5583,Friday,1.5668
2011-12-08,1.5707,1.5769,1.5609,Thursday,1.5626
2011-12-07,1.5598,1.5721,1.5591,Wednesday,1.5708
2011-12-06,1.5647,1.5663,1.556,Tuesday,1.5598
2011-12-05,1.5623,1.5716,1.5583,Monday,1.5645
2011-12-02,1.5688,1.5721,1.5576,Friday,1.5593
2011-12-01,1.5701,1.5755,1.5635,Thursday,1.5688
2011-11-30,1.5592,1.5779,1.5524,Wednesday,1.5705
2011-11-29,1.5507,1.5656,1.5467,Tuesday,1.5594
2011-11-28,1.5486,1.5594,1.5457,Monday,1.5506
