Open,High,Low,Weekday,Close
1.5972,1.6013,1.5965,Tuesday,1.6002
1.1122,1.1235,1.1023,Friday,1.116
1.7843,1.8045,1.7819,Thursday,1.8015
1.2466,1.2546,1.2345,Tuesday,1.2508
1.2899,1.2944,1.2873,Friday,1.2917
2.0891,2.0893,2.0782,Monday,2.0806
1.378,1.3837,1.3744,Thursday,1.383
1.5703,1.573,1.5624,Tuesday,1.5672
1.2291,1.2377,1.2238,Thursday,1.2355
1.2885,1.3015,1.2877,Friday,1.2952
1.4848,1.4944,1.4825,Tuesday,1.4891
1.2925,1.3052,1.2895,Monday,1.3026
1.5166,1.5192,1.5076,Tuesday,1.5162
1.4286,1.4437,1.4253,Friday,1.4378
1.6782,1.6785,1.6718,Friday,1.6729
1.5031,1.5118,1.4817,Friday,1.4944
1.3139,1.3158,1.3081,Monday,1.3102
1.6188,1.6277,1.6118,Thursday,1.6137
1.2435,1.2468,1.2404,Thursday,1.2439
1.5691,1.5747,1.5653,Tuesday,1.5737
1.1378,1.1385,1.1235,Wednesday,1.1273
1.3434,1.3442,1.3304,Wednesday,1.3355
1.3253,1.3338,1.3102,Wednesday,1.3107
1.3079,1.3108,1.2988,Friday,1.3015
1.5464,1.5529,1.5432,Thursday,1.5511
1.2737,1.2849,1.2726,Friday,1.2836
1.315,1.3175,1.3118,Tuesday,1.3164
1.3681,1.3724,1.3646,Monday,1.3675
1.5632,1.5638,1.5472,Wednesday,1.5479
1.2498,1.2521,1.2438,Friday,1.2486
1.5574,1.5659,1.5511,Friday,1.5529
1.5181,1.5189,1.5165,Monday,1.5183
1.2097,1.2126,1.1897,Tuesday,1.1951
1.9581,1.9582,1.9412,Friday,1.9434
1.383,1.3859,1.3799,Thursday,1.3816
1.4626,1.4668,1.4591,Thursday,1.4668
1.6472,1.6547,1.6421,Tuesday,1.645
1.4185,1.4249,1.408,Thursday,1.4222
1.8295,1.8335,1.8243,Wednesday,1.8313
2.0515,2.0572,2.0479,Friday,2.0521
1.193,1.1937,1.179,Friday,1.1827
1.3354,1.3534,1.3285,Wednesday,1.3449
1.6097,1.618,1.6031,Wednesday,1.6159
